from_node,to_node,distance
JP_458398982,JP_2641413229,132.1426319243808
JP_458398986,JP_458403663,68.72968922085445
JP_458398987,JP_458398997,139.0550851103894
JP_458398987,JP_458409473,138.3448950941322
JP_458398987,JP_458403678,76.34468420999822
JP_458398988,JP_458411576,92.98904772773535
JP_458398988,JP_458398987,71.77481667154571
JP_458398989,JP_458411577,79.39936904018941
JP_458398989,JP_601416280,127.16079768168754
JP_458398989,JP_458411580,142.6330987820127
JP_458398990,JP_458398989,80.06117708758701
JP_458398990,JP_601416286,116.80472850939665
JP_458398990,JP_601416294,132.23702365919166
JP_458398991,JP_458398990,83.12452819482682
JP_458398992,JP_458398993,73.76336114787033
JP_458398992,JP_2533629043,44.17263635836955
JP_458398992,JP_458409484,92.26602895409815
JP_458398993,JP_458398992,73.76336114787033
JP_458398993,JP_2533629039,30.123680348089966
JP_458398993,JP_458398997,88.5191045612997
JP_458398993,JP_2533629036,59.906631801518955
JP_458398994,JP_2533629036,9.929733260479562
JP_458398994,JP_3663483627,18.06033860415166
JP_458398994,JP_458399041,79.6517610675571
JP_458398997,JP_458398987,139.0550851103894
JP_458398997,JP_458409484,72.83331469927924
JP_458398997,JP_458398993,88.5191045612997
JP_458398997,JP_458399041,72.43273391017497
JP_458398998,JP_458409482,69.77805556199114
JP_458398998,JP_458409478,214.06796925470354
JP_458398998,JP_3307943537,204.2551389891836
JP_458399000,JP_458409483,68.13508957233819
JP_458399000,JP_8932888034,132.17665652563718
JP_458399003,JP_7364461533,21.1203954935576
JP_458399003,JP_2533629040,13.576667561408756
JP_458399003,JP_458409478,291.45508359740694
JP_458399009,JP_458403654,89.12081393334975
JP_458399009,JP_458399000,129.94438610470817
JP_458399034,JP_2641413229,88.48474806851763
JP_458399034,JP_458403651,69.37544808529674
JP_458399039,JP_458403676,70.72473994080647
JP_458399039,JP_458409479,69.36583225850922
JP_458399041,JP_458411576,47.51096796216901
JP_458399041,JP_601416280,74.56541068735818
JP_458399041,JP_458398997,72.43273391017497
JP_458399041,JP_458398994,79.6517610675571
JP_458399042,JP_3307943544,89.11316773478791
JP_458399042,JP_601416296,123.92152750953801
JP_458403639,JP_451374419,124.86439942465977
JP_458403639,JP_451389870,51.64929344531167
JP_458403651,JP_458409474,223.48459057597066
JP_458403651,JP_603864883,73.37013962314609
JP_458403653,JP_458399034,69.14142088137332
JP_458403653,JP_602377315,29.506850264733956
JP_458403653,JP_458403659,90.09746130008858
JP_458403654,JP_458399009,89.12081393334975
JP_458403654,JP_458403653,70.77673144674819
JP_458403656,JP_458409482,218.74391827020662
JP_458403656,JP_603864875,70.2446519614609
JP_458403659,JP_458399009,69.25303736034519
JP_458403659,JP_458403653,90.09746130008858
JP_458403663,JP_458403671,67.86314671121718
JP_458403663,JP_8932888035,84.20959180906712
JP_458403665,JP_458409474,73.44987312655351
JP_458403665,JP_458403669,211.6387380217497
JP_458403665,JP_603864883,224.8204056387253
JP_458403669,JP_7202427107,80.59639907777922
JP_458403669,JP_3622988065,153.6782078187031
JP_458403669,JP_458403665,211.6387380217497
JP_458403671,JP_458403669,72.70256428142227
JP_458403671,JP_1869448212,243.70995539385956
JP_458403676,JP_458398986,259.4031429679315
JP_458403676,JP_458399039,70.72473994080647
JP_458403678,JP_458409485,138.76093925858746
JP_458403678,JP_458409484,141.36585584774505
