node_id,longitude,latitude
JP_598159675,-34.8329712,-7.112859
JP_598159676,-34.8322431,-7.1114495
JP_598159677,-34.8323564,-7.1123875
JP_598159681,-34.8327888,-7.1118496
JP_598159697,-34.8355826,-7.1112558
JP_598159699,-34.8344364,-7.1110873
JP_598159701,-34.8352705,-7.1102078
JP_598159702,-34.8360029,-7.1108204
JP_598159706,-34.8350275,-7.10853
JP_598159707,-34.8355773,-7.1089179
JP_598159709,-34.8369857,-7.1083551
JP_598159710,-34.836133,-7.1093249
JP_598159711,-34.8322137,-7.10951
JP_598159712,-34.8327613,-7.109928
JP_598159713,-34.8333082,-7.110332
JP_598159714,-34.8338561,-7.110725
JP_598159715,-34.8347185,-7.1098106
JP_598159716,-34.834857,-7.1106349
JP_598159717,-34.8325158,-7.108225
JP_598159718,-34.8330831,-7.1086279
JP_598159719,-34.8336153,-7.1090286
JP_598159721,-34.8341582,-7.1094251
JP_598159723,-34.8304035,-7.1132279
JP_598159726,-34.8310138,-7.1135195
JP_598159727,-34.8309435,-7.1135829
JP_598159729,-34.8321475,-7.112749
JP_598159730,-34.831551,-7.1124351
JP_598159731,-34.831251,-7.1115545
JP_598159732,-34.831789,-7.1119655
JP_598159733,-34.8291721,-7.1126015
JP_598159735,-34.8285756,-7.1123017
JP_598159736,-34.8281278,-7.1135973
JP_598159737,-34.8285994,-7.1124148
JP_598159738,-34.8283862,-7.1129165
JP_598159739,-34.8274952,-7.1124624
JP_598159740,-34.8272941,-7.1133239
JP_598159741,-34.8292294,-7.1109916
JP_598159742,-34.8273729,-7.1116994
JP_598159743,-34.8271007,-7.1116648
JP_598159744,-34.826867,-7.1121422
JP_598159745,-34.829047,-7.111365
JP_598159746,-34.8300751,-7.1098203
JP_598159748,-34.8305621,-7.1083311
JP_598159749,-34.8316702,-7.1091116
JP_598159750,-34.8311179,-7.1087194
JP_598159751,-34.8295057,-7.1093859
JP_598159752,-34.829076,-7.1098814
JP_598159753,-34.8286349,-7.1106736
JP_598159754,-34.828034,-7.1103454
JP_598159755,-34.8278975,-7.1106127
JP_598159756,-34.8278338,-7.1107771
JP_598159757,-34.82703,-7.10829
JP_598159758,-34.8280154,-7.1090509
JP_598159759,-34.8285434,-7.1094493
JP_598159760,-34.8284359,-7.108584
JP_598159761,-34.8289621,-7.1089853
JP_598159762,-34.843543,-7.1043762
JP_598159764,-34.8396158,-7.1054915
JP_598159765,-34.838725,-7.1069169
JP_598159766,-34.8381158,-7.1065984
JP_598159769,-34.838617,-7.1032032
JP_598159770,-34.8378105,-7.1045811
JP_598159771,-34.8384115,-7.1048901
JP_598159772,-34.8392713,-7.1034795
JP_598159773,-34.841368,-7.102687
JP_598159774,-34.8405038,-7.1040241
JP_598159775,-34.8398809,-7.1037497
JP_598159776,-34.8390193,-7.1051869
JP_598159778,-34.8419878,-7.1029792
JP_598159779,-34.8411305,-7.104307
JP_598159786,-34.8411133,-7.1013922
JP_598159787,-34.841824,-7.1017135
JP_598159788,-34.8419796,-7.1017767
JP_598159789,-34.841356,-7.1015072
JP_598159790,-34.8407392,-7.102429
JP_598159791,-34.8425746,-7.1020328
JP_598159793,-34.8407219,-7.1012221
JP_598159794,-34.841575,-7.1006078
JP_598159795,-34.8423072,-7.1008604
JP_598159796,-34.8430254,-7.101109
JP_598159797,-34.8394925,-7.1018882
JP_598159798,-34.8401164,-7.1021547
JP_598159800,-34.840098,-7.1009568
JP_598159804,-34.8416859,-7.099742
JP_598159805,-34.8424662,-7.0998213
JP_598159812,-34.8330926,-7.1056049
JP_598159814,-34.8322454,-7.1065487
JP_598159815,-34.836918,-7.1059832
JP_598159816,-34.8358643,-7.107591
JP_598159822,-34.8364261,-7.1079719
JP_598159823,-34.8375082,-7.1062872
JP_598159824,-34.8347348,-7.1030581
JP_598159825,-34.8338707,-7.1044386
JP_598159826,-34.8308931,-7.1069601
JP_598159828,-34.8309749,-7.1071038
JP_598159829,-34.8307442,-7.1069815
JP_598159830,-34.8314034,-7.107434
JP_598159831,-34.8294501,-7.1075484
JP_598159833,-34.8299872,-7.107936
JP_598159834,-34.8319842,-7.1078261
JP_598159835,-34.8297923,-7.1062232
JP_598159836,-34.8303701,-7.1065931
JP_598159838,-34.8303022,-7.1066726
JP_598159839,-34.8297112,-7.1063053
JP_598159841,-34.828899,-7.1071587
JP_598159843,-34.8283841,-7.1068004
JP_598159848,-34.8273972,-7.1078258
JP_598159850,-34.8268616,-7.1073318
JP_598159851,-34.8288009,-7.1054244
JP_598159853,-34.8292843,-7.1058589
JP_598159854,-34.8291908,-7.1059469
JP_598159855,-34.8291368,-7.1060072
JP_598159857,-34.8286122,-7.1056294
JP_598159858,-34.8278621,-7.1064225
JP_598159861,-34.8300648,-7.1049863
JP_598159863,-34.830926,-7.1041304
JP_598159864,-34.835545,-7.101835
JP_598159865,-34.8363732,-7.1005012
JP_598159866,-34.8366702,-7.0986052
JP_598159867,-34.8373329,-7.0986725
JP_598159868,-34.8372224,-7.0992262
JP_598159869,-34.8370005,-7.0995915
JP_598159870,-34.8368961,-7.0973748
JP_598159871,-34.8375477,-7.0974238
JP_598159873,-34.8241086,-7.116421
JP_598159874,-34.8236151,-7.1187019
JP_598159876,-34.8245538,-7.1184638
JP_598159878,-34.8254538,-7.1182437
JP_598159880,-34.8263198,-7.1180367
JP_598159882,-34.8231072,-7.1166557
JP_598159886,-34.826348,-7.113948
JP_598159888,-34.8245342,-7.1142566
JP_598159889,-34.8225967,-7.1145917
JP_598159891,-34.824992,-7.1162183
JP_598159892,-34.823644,-7.1144159
JP_598159894,-34.8258724,-7.1160212
JP_598159896,-34.8247323,-7.1124818
JP_598159897,-34.8255672,-7.1127428
JP_598159898,-34.8264232,-7.1130248
JP_598159899,-34.8257254,-7.112421
JP_598159900,-34.8241257,-7.1122863
JP_598159902,-34.8255115,-7.1108385
JP_598159904,-34.8263088,-7.1112438
JP_598159905,-34.8246968,-7.1110361
JP_598159906,-34.8260722,-7.1117371
JP_598159907,-34.8252752,-7.1113309
JP_598159908,-34.8249754,-7.1119238
JP_598159910,-34.8244783,-7.1115918
JP_598159912,-34.8238722,-7.1122123
JP_598159913,-34.8229443,-7.1119463
JP_598159914,-34.8236817,-7.1111963
JP_598159919,-34.8231442,-7.1111863
JP_598159920,-34.8235826,-7.1121344
JP_598159923,-34.8260241,-7.1097169
JP_598159925,-34.8258101,-7.1101371
JP_598159926,-34.8255353,-7.1107691
JP_598159927,-34.8265147,-7.110456
JP_598159929,-34.8250551,-7.1095375
JP_598159931,-34.8257072,-7.1089525
JP_598159932,-34.825366,-7.108573
JP_598159934,-34.8262361,-7.1093872
JP_598159938,-34.8232439,-7.1108409
JP_598159939,-34.8263461,-7.1077638
JP_598159958,-34.8380907,-7.0925533
JP_598159962,-34.8385725,-7.0925483
JP_598159963,-34.8392504,-7.0924279
JP_598159980,-34.8444468,-7.0876462
JP_598159984,-34.8450869,-7.0882058
JP_598159985,-34.8458581,-7.0866966
JP_598159986,-34.8451862,-7.08665
JP_598159989,-34.8415679,-7.0898547
JP_598159990,-34.8421472,-7.0892053
JP_598160000,-34.8385333,-7.0890605
JP_598160001,-34.8404427,-7.0891374
JP_598160002,-34.8383768,-7.0897533
JP_598160003,-34.8398848,-7.0891334
JP_598160004,-34.8398794,-7.0897895
JP_598160006,-34.8385396,-7.0897561
JP_598160007,-34.8391995,-7.0897749
JP_598160008,-34.8427428,-7.0885351
JP_598160009,-34.8409726,-7.0884881
JP_598160011,-34.8409929,-7.0878115
JP_598160012,-34.8404304,-7.0884671
JP_598160020,-34.8424771,-7.087358
JP_598160021,-34.8418991,-7.0866886
JP_598160022,-34.8425764,-7.0867126
JP_598160027,-34.8389681,-7.0884364
JP_598160028,-34.8387729,-7.0886165
JP_598160033,-34.8386891,-7.0887519
JP_598160036,-34.8384831,-7.0887143
JP_598160038,-34.8386983,-7.0884972
JP_598160044,-34.8364665,-7.096566
JP_598160045,-34.8356184,-7.0965561
JP_598160053,-34.8371413,-7.0945336
JP_598160059,-34.8459868,-7.0847735
JP_598160084,-34.8446509,-7.0849727
JP_598160086,-34.8453008,-7.0848753
JP_598160092,-34.8437646,-7.0850583
JP_598160094,-34.8439772,-7.0848527
JP_598160097,-34.8439731,-7.0851062
JP_598160098,-34.8434468,-7.0849552
JP_598160100,-34.8457588,-7.084703
JP_598160105,-34.8428064,-7.0847995
JP_598160106,-34.8420051,-7.0860392
JP_598160107,-34.8420896,-7.0853844
JP_598160114,-34.8421533,-7.0846444
JP_598160117,-34.8399331,-7.0859613
JP_598160118,-34.8399813,-7.0853178
JP_598160136,-34.8396729,-7.0819321
JP_598160137,-34.8400131,-7.0826669
JP_598160171,-34.8394169,-7.0785131
JP_598160181,-34.8384263,-7.0780632
JP_598160184,-34.8383918,-7.0769894
JP_598160186,-34.8381463,-7.0777338
JP_598160191,-34.8377877,-7.077602
JP_598160202,-34.8352191,-7.0780885
JP_598160206,-34.8365481,-7.0786655
JP_598160207,-34.837326,-7.0789104
JP_598160210,-34.8328212,-7.0793209
JP_598160216,-34.8337125,-7.0780133
JP_598160217,-34.8331652,-7.0782544
JP_598160223,-34.8370021,-7.0773333
JP_598160227,-34.8324028,-7.0768096
JP_598160228,-34.8336111,-7.0768881
JP_598160229,-34.8330291,-7.0768521
JP_598160244,-34.8324087,-7.075975
JP_598926742,-34.8758613,-7.1418175
JP_598926747,-34.8697608,-7.1455083
JP_598926752,-34.8845313,-7.1357663
JP_598926753,-34.8837805,-7.1356071
JP_598926754,-34.8824669,-7.130201
JP_598926758,-34.8818339,-7.1337348
JP_598926767,-34.8817648,-7.1347741
JP_598926768,-34.8775296,-7.1387003
JP_598926769,-34.8788144,-7.1355938
JP_598926771,-34.879725,-7.1364401
JP_598926772,-34.8774827,-7.1360103
JP_598926775,-34.8760007,-7.1385267
JP_598926782,-34.8722886,-7.1359092
JP_598926783,-34.875302,-7.1359591
JP_598926784,-34.8755112,-7.1365958
JP_598926785,-34.8757473,-7.1374661
JP_598926789,-34.878815,-7.1329757
JP_598926792,-34.8815006,-7.1322191
JP_598926793,-34.8788443,-7.1302194
JP_598926794,-34.8805491,-7.1302249
JP_598926795,-34.8802172,-7.1325863
JP_598926797,-34.8774612,-7.1323894
JP_598926798,-34.8788247,-7.1323273
JP_598926805,-34.8741581,-7.1343369
JP_598926807,-34.8753937,-7.1339738
JP_598926808,-34.8760685,-7.1337873
JP_598926809,-34.8747602,-7.1341566
JP_598926810,-34.8738806,-7.1334503
JP_598926811,-34.8720069,-7.134987
JP_598926812,-34.871176,-7.1344217
JP_598926815,-34.8710476,-7.1352383
JP_598926817,-34.8733167,-7.1345869
JP_598926818,-34.8726478,-7.1347787
JP_598926819,-34.8713653,-7.1326616
JP_598926820,-34.871748,-7.1340797
JP_598926822,-34.871533,-7.133328
JP_598926823,-34.8707375,-7.1341931
JP_598926824,-34.8730561,-7.1336936
JP_598926825,-34.8724011,-7.1338869
JP_598926826,-34.874831,-7.1316221
JP_598926827,-34.8749742,-7.1324869
JP_598926828,-34.8753208,-7.1316189
JP_598926829,-34.8754777,-7.1324706
JP_598926830,-34.874268,-7.1325092
JP_598926831,-34.8736042,-7.1325358
JP_598926832,-34.8744685,-7.1301844
JP_598926833,-34.8755973,-7.1302085
JP_598926834,-34.8754513,-7.1309335
JP_598926836,-34.871128,-7.1319831
JP_598926838,-34.8727373,-7.1325833
JP_598926839,-34.8726831,-7.1316302
JP_598926840,-34.8720232,-7.1326166
JP_598926841,-34.8713656,-7.1301482
JP_598926842,-34.8713656,-7.1302563
JP_598926843,-34.8706249,-7.1303161
JP_598926844,-34.8715134,-7.130208
JP_598926845,-34.8709219,-7.1313019
JP_598926847,-34.8847025,-7.1267876
JP_598926850,-34.8841205,-7.1283559
JP_598926857,-34.8842674,-7.1218638
JP_598926861,-34.8812968,-7.1278404
JP_598926862,-34.8808913,-7.127851
JP_598926863,-34.8807171,-7.1291216
JP_598926864,-34.8774424,-7.1285742
JP_598926866,-34.8790324,-7.1260827
JP_598926867,-34.8790383,-7.1261882
JP_598926868,-34.8813446,-7.1260506
JP_598926875,-34.8713679,-7.1297439
JP_598926878,-34.8710923,-7.1255035
JP_598926879,-34.8717323,-7.1267079
JP_598926880,-34.8722016,-7.1264421
JP_598926881,-34.8715838,-7.1252587
JP_598926884,-34.8777065,-7.1231826
JP_598926885,-34.8814475,-7.1236788
JP_598926922,-34.8778692,-7.1205128
JP_598926924,-34.8779941,-7.1199146
JP_598926926,-34.8728934,-7.1245893
JP_598926928,-34.8769824,-7.1216144
JP_598926929,-34.8723241,-7.1234881
JP_598926930,-34.8739516,-7.1227854
JP_598926931,-34.8709917,-7.1240922
JP_598926944,-34.8704231,-7.1354075
JP_598926947,-34.8699664,-7.1344141
JP_598926948,-34.8695219,-7.1331399
JP_598926949,-34.8703539,-7.1329316
JP_598926950,-34.8697391,-7.1338026
JP_598926951,-34.8705447,-7.1335975
JP_598926952,-34.8692939,-7.1325012
JP_598926953,-34.8688909,-7.1316142
JP_598926956,-34.8697673,-7.1309722
JP_598926957,-34.8699703,-7.1315817
JP_598926958,-34.8690002,-7.1318584
JP_598926959,-34.8701655,-7.1322417
JP_598926960,-34.8624221,-7.1305317
JP_598926963,-34.8650862,-7.1305717
JP_598926964,-34.86265,-7.1310241
JP_598926966,-34.8693473,-7.1281708
JP_598926967,-34.8682596,-7.1288174
JP_598926968,-34.868972,-7.1274484
JP_598926969,-34.8678495,-7.1279807
JP_598926970,-34.8656769,-7.1289841
JP_598926971,-34.8669125,-7.127446
JP_598926972,-34.8659039,-7.1279186
JP_598926973,-34.8663729,-7.1277198
JP_598926974,-34.8667471,-7.128489
JP_598926975,-34.8671814,-7.1294257
JP_598926976,-34.8658955,-7.1294724
JP_598926977,-34.8677644,-7.1291012
JP_598926978,-34.868967,-7.1265212
JP_598926982,-34.8684787,-7.126368
JP_598926986,-34.8682773,-7.1268026
JP_598926995,-34.8680949,-7.125564
JP_598926996,-34.8671741,-7.1265158
JP_598926998,-34.8671468,-7.1259739
JP_598926999,-34.8664913,-7.1250829
JP_598927000,-34.8676823,-7.1246461
JP_598927001,-34.8653618,-7.125584
JP_598927002,-34.8663045,-7.1247057
